Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
536378,22662,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2026-09-24 09:37:00,0.85,14688,United Kingdom
536378,22382,LUNCH BAG SPACEBOY DESIGN,10,2026-09-24 09:37:00,1.65,14688,United Kingdom
536380,22969,HOMEMADE JAM SCENTED CANDLES,24,2026-09-24 09:41:00,1.45,15311,United Kingdom
536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2026-09-24 09:41:00,6.75,15311,United Kingdom
536381,21524,DOORMAT SPOTTY HOME SWEET HOME,10,2026-09-24 09:41:00,6.75,15311,United Kingdom
536381,22384,LUNCH BAG PINK POLKADOT,1,2026-09-24 09:41:00,1.65,15311,United Kingdom
536381,22485,SET OF 2 WOODEN MARKET BASKETS,1,2026-09-24 09:41:00,12.75,15311,United Kingdom
536381,22139,RETROSPOT TEA  COSY,2,2026-09-24 09:41:00,2.55,15311,United Kingdom
536381,84854,GIRLY PINK TOOL SET,1,2026-09-24 09:41:00,4.95,15311,United Kingdom
536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2026-09-24 09:41:00,1.95,15311,United Kingdom
536381,82567,"AIRLINE LOUNGE, METAL SIGN",2,2026-09-24 09:41:00,2.10,15311,United Kingdom
536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,2026-09-24 09:41:00,1.25,15311,United Kingdom
536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,2026-09-24 09:41:00,1.25,15311,United Kingdom
536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2026-09-24 09:41:00,1.25,15311,United Kingdom
536381,71270,PHOTO CLIP LINE,1,2026-09-24 09:41:00,1.25,15311,United Kingdom
536381,22262,FELT EGG COSY CHICKEN,1,2026-09-24 09:41:00,0.85,15311,United Kingdom
536381,22637,PIGGY BANK RETROSPOT,1,2026-09-24 09:41:00,2.55,15311,United Kingdom
536381,21934,SKULL SHOULDER BAG,1,2026-09-24 09:41:00,1.65,15311,United Kingdom
536381,21169,YOU'RE CONFUSING ME METAL SIGN,3,2026-09-24 09:41:00,1.69,15311,United Kingdom
536381,21166,COOKING CATS KITCHEN TOWEL,1,2026-09-24 09:41:00,2.55,15311,United Kingdom
536381,20985,HEART CALCULATOR,1,2026-09-24 09:41:00,1.25,15311,United Kingdom
536381,22352,LUNCH BOX WITH CUTLERY RETROSPOT,1,2026-09-24 09:41:00,2.55,15311,United Kingdom
536381,22727,ALARM CLOCK BAKELIKE RED,2,2026-09-24 09:41:00,3.75,15311,United Kingdom
536381,22726,ALARM CLOCK BAKELIKE GREEN,1,2026-09-24 09:41:00,3.75,15311,United Kingdom
536381,22629,SPACEBOY LUNCH BOX,1,2026-09-24 09:41:00,1.95,15311,United Kingdom
536381,22628,PICNIC BOXES SET OF 3 RETROSPOT,1,2026-09-24 09:41:00,4.95,15311,United Kingdom
536382,10002,INFLATABLE POLITICAL GLOBE,12,2026-09-24 09:45:00,0.85,16098,United Kingdom
536382,21912,VINTAGE SNAKES & LADDERS,8,2026-09-24 09:45:00,3.75,16098,United Kingdom
536382,21831,CHOCOLATE BOX COMPACT MIRROR,12,2026-09-24 09:45:00,1.65,16098,United Kingdom
536382,22779,WOODEN OWLS LIGHT GARLAND,24,2026-09-24 09:45:00,3.75,16098,United Kingdom
536382,22781,GUMBALL MAGAZINE RACK,6,2026-09-24 09:45:00,6.75,16098,United Kingdom
536382,22780,LIGHT GARLAND BUTTERFLIES PINK,12,2026-09-24 09:45:00,4.25,16098,United Kingdom
536382,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,36,2026-09-24 09:45:00,1.45,16098,United Kingdom
536382,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2026-09-24 09:45:00,1.45,16098,United Kingdom
536382,22645,CERAMIC HEART CAKE MONEY BANK,12,2026-09-24 09:45:00,1.45,16098,United Kingdom
536382,22647,CERAMIC LOVE HEART MONEY BANK,12,2026-09-24 09:45:00,1.45,16098,United Kingdom
536382,22652,TRAVEL SEWING KIT,10,2026-09-24 09:45:00,1.65,16098,United Kingdom
536382,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2026-09-24 09:45:00,1.25,16098,United Kingdom
536382,22835,HOT WATER BOTTLE I AM SO COZY,4,2026-09-24 09:45:00,4.65,16098,United Kingdom
536382,22837,HOT WATER BOTTLE BABUSHKA,4,2026-09-24 09:45:00,4.65,16098,United Kingdom
536382,22384,LUNCH BAG PINK POLKADOT,10,2026-09-24 09:45:00,1.65,16098,United Kingdom
536382,20726,LUNCH BAG WOODLAND,10,2026-09-24 09:45:00,1.65,16098,United Kingdom
536382,20727,LUNCH BAG  BLACK SKULL.,10,2026-09-24 09:45:00,1.65,16098,United Kingdom
536382,20728,LUNCH BAG CARS BLUE,10,2026-09-24 09:45:00,1.65,16098,United Kingdom
536382,22629,SPACEBOY LUNCH BOX,6,2026-09-24 09:45:00,1.95,16098,United Kingdom
536382,22630,DOLLY GIRL LUNCH BOX,6,2026-09-24 09:45:00,1.95,16098,United Kingdom
536382,22620,4 TRADITIONAL SPINNING TOPS,60,2026-09-24 09:45:00,1.25,16098,United Kingdom
536382,22960,JAM MAKING SET WITH JARS,12,2026-09-24 09:45:00,3.75,16098,United Kingdom
536382,22961,JAM MAKING SET PRINTED,12,2026-09-24 09:45:00,1.45,16098,United Kingdom
536382,22962,JAM JAR WALL CLOCK,4,2026-09-24 09:45:00,7.95,16098,United Kingdom
536382,22963,JAM JAR BATTERY OPERATED CLOCK,4,2026-09-24 09:45:00,7.95,16098,United Kingdom
